online_order,book_table,votes,location,rest_type,cuisines,approx_costfor_two_people,listed_intype,listed_incity,rating
1,1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,4.1
1,0,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari,4.1
1,0,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Buffet,Banashankari,3.8
0,0,88,Banashankari,Quick Bites,"South Indian, North Indian",300.0,Buffet,Banashankari,3.7
0,0,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600.0,Buffet,Banashankari,3.8
1,0,286,Basavanagudi,Casual Dining,North Indian,600.0,Buffet,Banashankari,3.8
0,0,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari,3.6
1,1,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Cafes,Banashankari,4.6
1,0,324,Banashankari,Cafe,"Cafe, Italian, Continental",700.0,Cafes,Banashankari,4.0
1,0,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,4.2
1,0,402,Banashankari,Cafe,Cafe,500.0,Cafes,Banashankari,4.1
1,1,150,Banashankari,Cafe,"Cafe, Italian, Continental",600.0,Cafes,Banashankari,4.2
1,1,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,4.2
0,0,424,Banashankari,Cafe,"Cafe, Continental",450.0,Cafes,Banashankari,4.0
1,0,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Cafes,Banashankari,3.8
1,0,90,Banashankari,Cafe,Cafe,650.0,Cafes,Banashankari,3.8
1,0,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,Banashankari,3.9
1,0,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700.0,Cafes,Banashankari,3.8
0,0,93,Banashankari,Cafe,"Cafe, Italian, American",300.0,Cafes,Banashankari,3.9
1,0,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400.0,Cafes,Banashankari,3.1
1,0,62,Banashankari,Cafe,"Cafe, French, North Indian",400.0,Cafes,Banashankari,3.0
1,0,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500.0,Cafes,Banashankari,3.7
0,0,28,Banashankari,Cafe,"Cafe, Fast Food",900.0,Cafes,Banashankari,3.6
1,0,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600.0,Cafes,Banashankari,3.6
0,0,31,Banashankari,Cafe,Cafe,300.0,Cafes,Banashankari,3.7
0,0,11,Banashankari,Cafe,"Cafe, Bakery",600.0,Cafes,Banashankari,3.2
1,0,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200.0,Cafes,Banashankari,3.8
0,0,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500.0,Cafes,Banashankari,3.3
0,0,23,Banashankari,Cafe,"Cafe, Fast Food",550.0,Cafes,Banashankari,3.3
0,0,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550.0,Cafes,Banashankari,3.8
1,0,219,Basavanagudi,Cafe,"Cafe, Italian",600.0,Cafes,Banashankari,4.0
1,0,506,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500.0,Delivery,Banashankari,2.8
1,0,35,Banashankari,Delivery,"Bakery, Desserts",500.0,Delivery,Banashankari,3.9
1,0,172,Banashankari,Delivery,Pizza,750.0,Delivery,Banashankari,3.9
1,0,415,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500.0,Delivery,Banashankari,4.2
1,0,230,Banashankari,Delivery,Biryani,650.0,Delivery,Banashankari,3.9
1,0,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400.0,Delivery,Banashankari,2.8
1,0,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600.0,Delivery,Banashankari,4.2
1,0,4884,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750.0,Delivery,Banashankari,4.4
1,0,17,Banashankari,Quick Bites,South Indian,150.0,Delivery,Banashankari,4.0
1,0,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200.0,Delivery,Banashankari,3.8
